Time [s],Channel 3
0.000078562,-0.013
0.000878562,-0.008
0.001678562,-0.008
0.002478562,-0.008
0.003278562,-0.013
0.004078562,-0.013
0.004878562,-0.008
0.005678562,-0.013
0.006478562,-0.008
0.007278562,-0.013
0.008078562,-0.008
0.008878562,-0.008
0.009678562,-0.013
0.010478562,-0.008
0.011278562,-0.008
0.012078562,-0.013
0.012878562,-0.008
0.013678562,-0.013
0.014478562,-0.008
0.015278562,-0.008
0.016078562,-0.013
0.016878562,-0.013
0.017678562,-0.008
0.018478562,-0.013
0.019278562,-0.013
0.020078562,-0.008
0.020878562,-0.013
0.021678562,-0.008
0.022478562,-0.008
0.023278562,-0.013
0.024078562,-0.013
0.024878562,-0.008
0.025678562,-0.013
0.026478562,-0.008
0.027278562,-0.013
0.028078562,-0.008
0.028878562,-0.013
0.029678562,-0.008
0.030478562,-0.008
0.031278562,-0.008
0.032078562,-0.013
0.032878562,-0.008
0.033678562,-0.008
0.034478562,-0.008
0.035278562,-0.008
0.036078562,-0.008
0.036878562,-0.013
0.037678562,-0.013
0.038478562,-0.008
0.039278562,-0.008
0.040078562,-0.013
0.040878562,-0.013
0.041678562,-0.008
0.042478562,-0.008
0.043278562,-0.013
0.044078562,-0.013
0.044878562,-0.013
0.045678562,-0.008
0.046478562,-0.008
0.047278562,-0.013
0.048078562,-0.008
0.048878562,-0.008
0.049678562,-0.008
0.050478562,-0.008
0.051278562,-0.008
0.052078562,-0.013
0.052878562,-0.008
0.053678562,-0.013
0.054478562,-0.013
0.055278562,-0.013
0.056078562,-0.013
0.056878562,-0.013
0.057678562,-0.013
0.058478562,-0.013
0.059278562,-0.008
0.060078562,-0.008
0.060878562,-0.013
0.061678562,-0.013
0.062478562,-0.013
0.063278562,-0.013
0.064078562,-0.008
0.064878562,-0.013
0.065678562,-0.008
0.066478562,-0.013
0.067278562,-0.013
0.068078562,-0.008
0.068878562,-0.008
0.069678562,-0.013
0.070478562,-0.008
0.071278562,-0.013
0.072078562,-0.013
0.072878562,-0.013
0.073678562,-0.013
0.074478562,-0.008
0.075278562,-0.008
0.076078562,-0.013
0.076878562,-0.008
0.077678562,-0.008
0.078478562,-0.013
0.079278562,-0.008
0.080078562,-0.008
0.080878562,-0.008
0.081678562,-0.013
0.082478562,-0.013
0.083278562,-0.008
0.084078562,-0.008
0.084878562,-0.013
0.085678562,-0.013
0.086478562,-0.013
0.087278562,-0.008
0.088078562,-0.008
0.088878562,-0.013
0.089678562,-0.008
0.090478562,-0.008
0.091278562,-0.008
0.092078562,-0.013
0.092878562,-0.008
0.093678562,-0.008
0.094478562,-0.008
0.095278562,-0.013
0.096078562,-0.013
0.096878562,-0.013
0.097678562,-0.013
0.098478562,-0.008
0.099278562,-0.008
0.100078562,-0.013
0.100878562,-0.013
0.101678562,-0.013
0.102478562,-0.013
0.103278562,-0.013
0.104078562,-0.013
0.104878562,-0.008
0.105678562,-0.013
0.106478562,-0.013
0.107278562,-0.008
0.108078562,-0.013
0.108878562,-0.013
0.109678562,-0.008
0.110478562,-0.008
0.111278562,-0.013
0.112078562,-0.013
0.112878562,-0.013
0.113678562,-0.008
0.114478562,-0.013
0.115278562,-0.008
0.116078562,-0.013
0.116878562,-0.013
0.117678562,-0.008
0.118478562,-0.008
0.119278562,-0.008
0.120078562,-0.013
0.120878562,-0.013
0.121678562,-0.008
0.122478562,-0.008
0.123278562,-0.008
0.124078562,-0.013
0.124878562,-0.013
0.125678562,-0.013
0.126478562,-0.013
0.127278562,-0.008
0.128078562,-0.008
0.128878562,-0.013
0.129678562,-0.008
0.130478562,-0.008
0.131278562,-0.008
0.132078562,-0.008
0.132878562,-0.008
0.133678562,-0.013
0.134478562,-0.013
0.135278562,-0.008
0.136078562,-0.008
0.136878562,-0.008
0.137678562,-0.013
0.138478562,-0.013
0.139278562,-0.013
0.140078562,-0.013
0.140878562,-0.008
0.141678562,-0.013
0.142478562,-0.008
0.143278562,-0.013
0.144078562,-0.013
0.144878562,-0.008
0.145678562,-0.013
0.146478562,-0.013
0.147278562,-0.013
0.148078562,-0.008
0.148878562,-0.008
0.149678562,-0.013
0.150478562,-0.008
0.151278562,-0.008
0.152078562,-0.013
0.152878562,-0.008
